"danceability" "energy" "key" "loudness" "mode" "speechiness" "acousticness" "instrumentalness" "liveness" "valence" "tempo" "track_uri" "duration_ms" "time_signature" "key_mode"
0.388 0.796 "E" -4.325 "minor" 0.0457 0.0645 0 0.0897 0.231 133.928 "0JcjxoXpT0VekfszQseWFU" 302853 4 "E minor"
0.465 0.91 "A" -3.553 "minor" 0.0611 4.74e-05 5.99e-06 0.0653 0.401 127.007 "0LF2aYT3gFKH6yuJZynFM3" 352907 4 "A minor"
0.474 0.886 "A" -4.102 "major" 0.0637 8.85e-05 6.1e-06 0.119 0.457 135.056 "6BR28nEa7qkIInsaUSd4g3" 280080 4 "A major"
0.542 0.826 "A" -4.851 "minor" 0.0364 0.00257 0 0.038 0.326 99.999 "2gg7uinzU9JRRQ5b8Ke321" 264800 4 "A minor"
0.364 0.876 "C#" -4.554 "minor" 0.0655 0.00215 0.00374 0.139 0.205 160.148 "1I34SWLfn110Hwvd1ELxIr" 310053 3 "C# minor"
0.425 0.768 "C" -4.732 "minor" 0.0383 0.0064 3.4e-05 0.155 0.234 127.009 "14hDP47ckFO2LkBLMHBcRJ" 335000 4 "C minor"
0.442 0.928 "G#" -3.823 "major" 0.12 0.00021 0 0.0386 0.552 145.071 "0RweahVGLHM5ineuqPnJId" 285800 4 "G# major"
0.51 0.93 "C#" -4.262 "major" 0.0539 0.000385 6.05e-05 0.104 0.347 124.996 "4fic9atKIEgzK2C66gnLKw" 351093 4 "C# major"
0.45 0.929 "D" -3.662 "major" 0.0508 0.00466 0 0.0634 0.397 99.991 "3Vef1dwjS2Ag0ab7dKMTdw" 286667 4 "D major"
0.261 0.896 "F#" -4.899 "minor" 0.108 0.00357 0 0.0937 0.283 104.986 "3f2vAQMkfZHgin41sUYdMa" 302160 3 "F# minor"
0.489 0.703 "A" -4.53 "minor" 0.0343 0.108 0 0.0536 0.358 130.016 "7KrhyFiJHgF37d73snJmSn" 354013 4 "A minor"
0.395 0.959 "A#" -3.633 "minor" 0.0631 0.00572 0 0.306 0.421 90.971 "77sfySyBcpTr8El32ewLwI" 316960 4 "A# minor"
0.468 0.95 "C#" -4.364 "major" 0.0774 0.00377 3.94e-06 0.186 0.505 145.004 "15edbIMJXySUyblSsinb9K" 339960 4 "C# major"
0.262 0.973 "B" -3.98 "major" 0.0789 0.000318 1.49e-05 0.0691 0.344 171.982 "43m2kj9mthcYS3jUwpg3re" 286867 4 "B major"
0.418 0.896 "G#" -3.857 "minor" 0.0536 0.0171 0 0.135 0.456 149.953 "1dgpK0Pp8ibyxE2KHm91IY" 288453 4 "G# minor"
0.344 0.982 "F#" -4.03 "major" 0.0836 0.000232 1.57e-06 0.0876 0.206 159.89 "4ktR7S6AMq3uhI4dnp31Eh" 287347 4 "F# major"
0.532 0.903 "F" -3.708 "minor" 0.0561 0.0127 3.48e-05 0.223 0.172 115.992 "6rQUdWqp16pqQQTOR2fe79" 331587 4 "F minor"
0.223 0.917 "D#" -4.15 "minor" 0.0695 0.00046 3.42e-05 0.212 0.37 187.405 "3CdbQukunNC6P6xNSYCIHC" 295027 3 "D# minor"
0.429 0.617 "B" -4.947 "minor" 0.0344 0.131 0 0.193 0.2 125.041 "2OOAGQvtxL0Bwur82HmQ2d" 373440 4 "B minor"
0.2 0.906 "C#" -6.41 "major" 0.132 0.00599 3.56e-05 0.173 0.154 97.529 "0va8WyJkkSiokHWEwywU5p" 317231 4 "C# major"
0.392 0.956 "C#" -5.33 "major" 0.11 0.000382 0 0.0581 0.307 154.832 "0nxEcElKrOQbMB5LA66Qdr" 338709 4 "C# major"
0.347 0.942 "D" -5.07 "minor" 0.0791 0.000164 0 0.318 0.47 157.97 "3bTfspWTW8Rm6KbEBjjcFz" 277734 4 "D minor"
0.448 0.671 "G#" -5.835 "major" 0.0295 0.021 0 0.137 0.371 137.977 "7oLxSujmdAJVr8VZAlgDgm" 326055 4 "G# major"
0.42 0.934 "C" -5.078 "major" 0.107 7.35e-05 0 0.257 0.414 154.921 "4p3L4whsVQsQ5y012kbTT7" 292548 4 "C major"
0.377 0.938 "A" -5.724 "major" 0.0898 0.00148 0 0.293 0.363 74.561 "6Ieaz1F1lkrBVh5GJcSdlp" 284723 4 "A major"
0.359 0.939 "C#" -4.244 "minor" 0.0905 0.000301 0 0.0885 0.337 145.198 "18cFkiMKIzayqBnBrALNm6" 286952 4 "C# minor"
0.42 0.867 "G#" -6.087 "major" 0.0402 0.00139 0 0.256 0.292 158.1 "2ERwsYlZa3vUyGgEjpJY9x" 310846 4 "G# major"
0.493 0.939 "C#" -6.175 "major" 0.0445 4.3e-05 3.13e-05 0.119 0.439 110.002 "1ADQbBTTZ2memwhVwvFJ1V" 264197 4 "C# major"
0.505 0.877 "C#" -5.346 "major" 0.0386 0.00387 1.74e-06 0.134 0.333 139.997 "1dgyPZ91F5X6zYIHG3dPPS" 283214 4 "C# major"
0.308 0.951 "B" -5.46 "major" 0.12 9.68e-05 0 0.0374 0.251 82.157 "6mDNNqgY9e1MX3UpJ9JOpg" 320784 4 "B major"
